EMPID,SALARY,HSGPA,PHSCRED,RACE,AGEGRP,HAPRAT,NUMCLD,VACDAY
12390,51,1.11,TRD,OTH,18-25,4,2,12
12394,63,1.77,NA,WHT,18-25,2,3,10
12402,56,1.79,NA,OTH,18-25,4,2,13
12406,51,1.55,NA,MEI,18-25,2,1,13
12410,57,2.15,NA,WHT,18-25,4,2,11
12425,60,1.9,NA,WHT,18-25,5,2,10
12428,64,1.73,TRD,OTH,18-25,3,0,14
12434,57,1.13,NA,MEI,18-25,5,5,10
12436,53,1.09,TRD,HSP,18-25,4,1,13
12441,64,1.74,NA,HSP,18-25,1,1,10
12452,58,1.13,NA,HSP,18-25,3,6,13
12453,70,2.33,NA,HSP,18-25,2,3,12
12456,52,1.6,TRD,HSP,18-25,2,3,14
12460,50,1.83,TRD,WHT,18-25,1,2,13
12463,70,2.02,NA,HSP,18-25,4,1,11
12471,67,1.79,NA,WHT,18-25,2,2,12
12477,63,1.93,TRD,HSP,18-25,1,2,12
12485,53,1.78,NA,EAP,18-25,3,2,13
12488,52,1.59,TRD,WHT,18-25,4,3,13
12497,54,2.21,TRD,BLK,18-25,4,1,13
12499,63,1.34,NA,HSP,18-25,2,1,11
12502,61,1.73,TRD,HSP,18-25,1,4,10
12507,54,2.13,TRD,WHT,18-25,2,3,10
12511,51,2.15,NA,WHT,18-25,4,3,12
12512,56,2.16,TRD,WHT,18-25,1,2,10
12515,57,2.14,TRD,WHT,18-25,1,1,13
12516,64,2.07,NA,EAP,18-25,1,0,10
12523,67,2.02,NA,HSP,18-25,3,2,12
12530,53,2.23,TRD,WHT,18-25,3,1,13
12547,58,1.77,TRD,MEI,18-25,4,2,11
12549,51,1.62,TRD,WHT,18-25,4,3,10
12389,71,2.01,TRD,HSP,26-35,2,2,12
12397,83,1.75,TRD,HSP,26-35,2,2,10
12399,73,2.1,TRD,HSP,26-35,1,1,14
12403,84,1.35,AA,WHT,26-35,4,2,13
12404,52,1.15,NA,WHT,26-35,3,0,10
12408,55,1.19,TRD,WHT,26-35,3,0,13
12414,89,1.85,TRD,HSP,26-35,2,2,10
12415,82,1.89,AA,OTH,26-35,3,0,10
12426,79,1.3,TRD,MEI,26-35,4,2,14
12427,75,1.55,TRD,OTH,26-35,1,3,14
12431,84,1.33,AA,WHT,26-35,3,0,10
12433,64,1.94,NA,WHT,26-35,3,0,13
12435,77,1.41,AA,WHT,26-35,4,2,12
12438,82,1.49,AA,HSP,26-35,3,2,13
12439,112,3.19,BD,WHT,26-35,2,1,15
12440,78,2.33,TRD,MEI,26-35,3,1,12
12443,86,1.36,TRD,HSP,26-35,2,4,13
12450,93,1.35,TRD,HSP,26-35,4,1,11
12454,84,1.43,TRD,HSP,26-35,3,5,10
12461,122,3.43,BD,HSP,26-35,5,1,15
12464,102,2.95,BD,HSP,26-35,3,6,15
12466,91,2.57,BD,MEI,26-35,3,0,12
12468,101,2.63,BD,HSP,26-35,4,1,15
12469,85,1.82,TRD,WHT,26-35,4,2,10
12474,64,1.91,TRD,HSP,26-35,3,2,10
12475,88,2.3,TRD,WHT,26-35,4,3,11
12476,91,1.57,TRD,HSP,26-35,1,2,10
12478,99,2.68,BD,HSP,26-35,4,1,15
12479,82,1.48,AA,WHT,26-35,2,3,14
12480,132,3.75,MAS,BLK,26-35,4,1,16
12482,50,1.79,NA,WHT,26-35,3,1,13
12484,102,1.75,AA,HSP,26-35,2,1,14
12487,90,2.85,BD,HSP,26-35,1,0,10
12490,73,2.03,TRD,WHT,26-35,1,2,14
12492,72,1.65,AA,EAP,26-35,1,0,11
12494,109,2.08,AA,EAP,26-35,2,2,14
12498,109,2.52,BD,HSP,26-35,4,1,15
12509,103,2.96,AA,WHT,26-35,4,3,15
12521,58,1.62,TRD,MEI,26-35,3,0,12
12524,100,2.71,BD,HSP,26-35,5,1,15
12526,87,1.23,AA,EAP,26-35,2,2,10
12534,109,2.74,BD,HSP,26-35,3,2,15
12542,53,1.2,NA,WHT,26-35,1,1,11
12546,64,1.96,NA,EAP,26-35,2,2,13
12548,70,2.01,NA,HSP,26-35,3,1,11
12550,100,2.86,BD,HSP,26-35,2,1,16
12395,111,3.71,MAS,HSP,36-45,1,0,15
12401,104,2.59,BD,WHT,36-45,3,0,15
12405,83,1.1,TRD,OTH,36-45,2,0,14
12407,98,1.5,TRD,WHT,36-45,2,2,15
12416,97,2.74,BD,WHT,36-45,2,2,15
12421,94,2.51,BD,HSP,36-45,3,2,10
12430,108,2.55,BD,HSP,36-45,2,2,15
12444,112,3,MAS,HSP,36-45,4,1,14
12449,76,1.38,AA,WHT,36-45,2,2,10
12457,114,3.06,BD,HSP,36-45,1,2,15
12465,124,3.52,BD,WHT,36-45,4,2,15
12473,71,2.2,AA,EAP,36-45,2,3,11
12493,72,1.4,AA,WHT,36-45,2,3,10
12501,109,2.64,AA,WHT,36-45,1,2,15
12529,97,2.88,BD,BLK,36-45,2,3,15
12532,96,2.07,TRD,WHT,36-45,3,3,15
12533,123,3.47,MAS,EAP,36-45,3,2,15
12391,138,3.64,DOC,WHT,46-55,2,0,16
12392,111,3.67,DOC,WHT,46-55,4,2,15
12393,126,3.02,BD,WHT,46-55,4,2,16
12396,145,3.87,MAS,WHT,46-55,2,3,17
12398,111,3.16,BD,HSP,46-55,4,1,15
12409,114,2.98,BD,HSP,46-55,5,1,16
12413,109,2.98,BD,WHT,46-55,1,3,16
12420,139,3.1,BD,MEI,46-55,5,1,20
12422,137,3.78,MAS,HSP,46-55,2,2,16
12423,93,2.58,BD,OTH,46-55,3,0,11
12429,120,3.4,MAS,WHT,46-55,1,3,15
12432,139,3.89,DOC,HSP,46-55,2,4,19
12445,128,3.44,MAS,WHT,46-55,4,2,16
12446,93,2.96,BD,HSP,46-55,2,4,10
12447,90,2.93,BD,HSP,46-55,3,2,13
12448,111,3.7,MAS,MEI,46-55,3,1,15
12455,101,2.7,AA,MEI,46-55,2,0,15
12458,121,3.36,MAS,HSP,46-55,3,8,14
12467,144,3.68,DOC,WHT,46-55,4,2,17
12470,127,3.73,MAS,HSP,46-55,3,2,16
12472,142,3.62,DOC,EAP,46-55,3,3,25
12483,96,2.59,BD,WHT,46-55,4,3,12
12486,130,3.12,BD,WHT,46-55,2,4,16
12489,142,3.79,DOC,EAP,46-55,1,0,17
12491,131,3.01,BD,WHT,46-55,2,5,17
12503,96,2.93,BD,BLK,46-55,1,0,15
12504,139,3.79,MAS,BLK,46-55,5,0,22
12505,107,2.93,BD,HSP,46-55,4,1,15
12510,121,3.57,MAS,WHT,46-55,3,1,15
12513,124,3.21,BD,EAP,46-55,4,1,15
12514,110,2.92,AA,WHT,46-55,2,2,15
12518,127,2.53,BD,MEI,46-55,2,0,17
12519,140,3.81,MAS,WHT,46-55,4,3,20
12525,135,3.04,BD,BLK,46-55,5,0,16
12528,138,3.13,MAS,WHT,46-55,3,1,16
12531,125,2.81,BD,WHT,46-55,5,2,16
12536,103,2.65,BD,HSP,46-55,3,2,15
12537,122,2.93,BD,WHT,46-55,3,3,15
12538,129,3.7,BD,WHT,46-55,4,3,16
12540,102,2.55,BD,MEI,46-55,4,2,16
12543,84,1.55,AA,WHT,46-55,1,2,14
12544,134,3.97,MAS,WHT,46-55,4,3,16
12400,137,3.7,MAS,WHT,56+,2,3,16
12411,121,3.2,BD,MEI,56+,3,1,15
12412,113,3.24,BD,OTH,56+,4,2,15
12417,120,3.57,MAS,HSP,56+,4,1,14
12418,113,3.44,MAS,HSP,56+,5,1,16
12419,136,3.83,MAS,OTH,56+,4,2,16
12424,143,3.59,MAS,WHT,56+,2,1,17
12437,129,3.29,MAS,MEI,56+,3,1,16
12442,137,3.56,MAS,WHT,56+,1,2,16
12451,145,3.89,DOC,HSP,56+,3,2,17
12459,111,3.47,MAS,HSP,56+,2,3,16
12462,137,3.1,MAS,MEI,56+,3,1,16
12481,127,3.26,MAS,MEI,56+,2,0,16
12495,130,3.11,BD,HSP,56+,3,2,16
12496,138,3.92,MAS,WHT,56+,4,3,16
12500,138,3.7,DOC,WHT,56+,3,1,16
12506,137,3.96,DOC,WHT,56+,1,2,16
12508,133,3.83,MAS,MEI,56+,3,0,16
12517,141,3.82,DOC,WHT,56+,4,4,17
12520,139,3.13,BD,MEI,56+,1,4,22
12522,112,3.64,DOC,WHT,56+,4,3,15
12527,111,3.69,DOC,MEI,56+,2,0,14
12535,140,3.92,MAS,EAP,56+,4,1,17
12539,141,3.9,MAS,EAP,56+,3,2,17
12541,100,2.76,BD,WHT,56+,2,0,15
12545,136,3.3,MAS,WHT,56+,4,4,16
